,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title,Video Release Date,Channel,Views,Likes,Comments,Licensed,official_video,Stream
302,SCH,https://open.spotify.com/artist/2kXKa3aAFngGz2P4GjG5w2,FADE UP,FADE UP,single,spotify:track:4ZpIuzx91EAPK3VimONbfB,0.758,0.599,4,-5.99,0.0877,0.57,1.13E-06,0.129,0.557,129.96,219188,https://www.youtube.com/watch?v=QrZyqWWW3kA,ZEG P Ft. Hamza & SCH - Fade Up (Official Visualizer),13/9/22,Zeg P,34920629,233986,2493,TRUE,TRUE,73985187
303,SCH,https://open.spotify.com/artist/2kXKa3aAFngGz2P4GjG5w2,Bande organisée,Bande organisée,single,spotify:track:205HNJ73cgpC0LAOnuQiWT,0.901,0.939,6,-2.762,0.274,0.117,0,0.0643,0.805,142.948,356347,https://www.youtube.com/watch?v=-CVn3-3g_BI,Bande Organisée - Sch / Kofs / Jul / Naps / Soso maness / Elams / Solda / Houari // Clip Officiel,29/7/22,DORETDEPLATINE,440400384,2439612,121890,TRUE,TRUE,211760104
304,Ludwig van Beethoven,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Für Elise, Bagatelle No. 25 in A Minor, WoO 59",single,spotify:track:3zLTPuucd3e6TxZnu2dlVS,0.289,0.0306,9,-30.79,0.0446,0.987,0.911,0.102,0.118,125.61,212067,https://www.youtube.com/watch?v=wfF0zHeU3Zs,Beethoven - Für Elise,31/8/22,Rousseau,64961816,1085160,23378,TRUE,TRUE,16274382
305,Ludwig van Beethoven,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,"Für Elise, WoO 59",Beethoven Greatest Hits,compilation,spotify:track:6MQAB3vorg90FA3tQpbYXK,0.303,0.108,9,-27.433,0.0473,0.994,0.877,0.0805,0.18,126.931,188467,https://www.youtube.com/watch?v=noAU3qDS1dA,"Beethoven : Für Elise, WoO 59",3/9/22,Sheetmusic2print,30910,526,19,TRUE,TRUE,82496303
306,Ludwig van Beethoven,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,"Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)",Peaceful Moments (One Hour of Relaxing Instrumentals),compilation,spotify:track:7xfSCgVOkQJhVxnqzepATH,0.216,0.199,1,-20.583,0.044,0.991,0.916,0.095,0.339,178.876,294883,https://www.youtube.com/watch?v=sbTVZMJ9Z2I,Beethoven - Moonlight Sonata (1st Movement),13/9/22,Rousseau,32551379,485478,11774,TRUE,TRUE,26869708
307,Ludwig van Beethoven,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Beethoven: Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",single,spotify:track:0H2VhGUC3P3hvwz8rdGIpC,0.23,0.0487,5,-27.675,0.0412,0.986,0.945,0.0679,0.101,134.839,203656,https://www.youtube.com/watch?v=wfF0zHeU3Zs,Beethoven - Für Elise,27/8/22,Rousseau,64961816,1085160,23378,TRUE,TRUE,46296543
308,Diddy,https://open.spotify.com/artist/59wfkuBoNyhDMQGCljbUbA,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",Bad Boy's 10th Anniversary- The Hits,compilation,spotify:track:6Wt5QBzHp9vdSLAFlvdnDQ,0.713,0.471,1,-7.392,0.483,0.421,0,0.0308,0.779,199.764,285587,https://www.youtube.com/watch?v=Wf64fEwFcb0,"I Need a Girl (Pt. 2) (feat. Ginuwine, Loon, Mario Winans & Tammy Ruggieri) (2016 Remaster)",23/6/22,Diddy - Topic,1666705,23093,32,TRUE,TRUE,171690947
309,Diddy,https://open.spotify.com/artist/59wfkuBoNyhDMQGCljbUbA,Gotta Move On (feat. Bryson Tiller),Gotta Move On (feat. Bryson Tiller),single,spotify:track:3K9IrLs25jHtvWjAAFAfav,0.699,0.679,9,-4.528,0.0556,0.55,0,0.0816,0.56,102.919,160777,https://www.youtube.com/watch?v=M8cF4Ca8yJI,Diddy feat. Bryson Tiller - Gotta Move On (Official Video),11/9/22,PuffDaddyVEVO,15568014,146722,8536,TRUE,TRUE,23669662
310,Diddy,https://open.spotify.com/artist/59wfkuBoNyhDMQGCljbUbA,Sex In The Porsche (and PARTYNEXTDOOR),Sex In The Porsche (and PARTYNEXTDOOR),single,spotify:track:33RTe6MAxEno83JSdpObQr,0.698,0.553,0,-6.886,0.0458,0.109,9.10E-06,0.314,0.0582,91.054,213626,https://www.youtube.com/watch?v=qKOzaMvWHco,Diddy & PartyNextDoor - Sex In The Porsche (Official Visualizer),7/9/22,Diddy,298904,7231,406,FALSE,TRUE,4208738
311,Diddy,https://open.spotify.com/artist/59wfkuBoNyhDMQGCljbUbA,I Need a Girl (Pt. 1) [feat. Usher & Loon],R&B Hits,compilation,spotify:track:7lVNTXkI3cHFvcXiI8damb,0.66,0.707,6,-5.758,0.208,0.397,0,0.211,0.761,89.279,268800,https://www.youtube.com/watch?v=zXYb1OMhwBA,P. Diddy [feat. Usher & Loon] - I Need A Girl Part 1 (Official Music Video),14/9/22,Bad Boy Entertainment,39953235,263121,8039,TRUE,TRUE,92344062
